time,dir,queue,vehicles,mean_speed
193.0,E,0,7,50.22
193.0,S,0,3,55.99
194.0,W,0,5,49.42
194.0,N,0,1,90.02
194.0,E,0,7,57.78
194.0,S,0,3,56.4
195.0,W,0,4,49.76
195.0,N,0,1,92.0
195.0,E,0,7,57.03
195.0,S,0,3,57.93
196.0,W,0,3,44.76
196.0,N,0,2,86.16
196.0,E,0,7,53.75
196.0,S,0,3,58.17
197.0,W,0,3,39.95
197.0,N,1,3,63.06
197.0,E,0,5,56.06
197.0,S,0,3,57.83
198.0,W,0,2,48.95
198.0,N,0,3,69.3
198.0,E,0,5,54.58
198.0,S,0,2,58.08
199.0,W,0,0,60.01
199.0,N,0,3,69.09
199.0,E,0,5,52.99
199.0,S,0,2,57.93
200.0,W,0,0,60.01
200.0,N,0,3,74.02
200.0,E,0,5,48.49
200.0,S,0,3,57.02
201.0,W,0,0,60.01
201.0,N,0,2,75.95
201.0,E,0,4,43.05
201.0,S,0,4,56.53
202.0,W,0,1,60.01
202.0,N,0,2,73.64
202.0,E,0,4,37.27
202.0,S,0,4,57.29
203.0,W,0,1,60.58
203.0,N,0,2,71.28
203.0,E,1,4,33.77
203.0,S,0,4,53.29
204.0,W,0,1,59.66
204.0,N,0,1,86.26
204.0,E,2,4,31.48
204.0,S,0,3,55.76
205.0,W,0,3,55.19
205.0,N,0,2,78.82
205.0,E,3,4,30.45
205.0,S,0,3,54.87
206.0,W,0,3,53.17
206.0,N,0,1,92.21
206.0,E,3,5,36.14
206.0,S,0,3,55.79
207.0,W,0,4,43.12
207.0,N,0,1,93.62
207.0,E,3,6,28.55
207.0,S,0,3,57.8
208.0,W,0,4,42.59
208.0,N,0,1,93.14
208.0,E,4,8,37.05
208.0,S,0,3,58.64
209.0,W,0,4,39.13
209.0,N,0,0,100.01
209.0,E,4,8,38.55
209.0,S,0,3,59.56
210.0,W,1,5,25.11
210.0,N,0,0,100.01
210.0,E,4,9,42.27
210.0,S,0,3,59.56
211.0,W,1,5,23.3
211.0,N,0,0,100.01
211.0,E,4,9,44.32
211.0,S,0,2,59.73
212.0,W,2,4,24.29
212.0,N,0,0,100.01
212.0,E,4,10,46.62
212.0,S,0,2,56.69
213.0,W,2,5,33.11
213.0,N,0,1,93.51
213.0,E,4,10,46.67
213.0,S,0,2,52.6
214.0,W,3,5,33.72
214.0,N,0,1,94.91
214.0,E,4,10,45.68
214.0,S,0,2,48.69
215.0,W,3,5,33.71
215.0,N,0,1,96.41
215.0,E,4,10,44.47
215.0,S,0,1,58.61
216.0,W,3,5,39.13
216.0,N,0,1,97.81
216.0,E,4,12,45.62
216.0,S,0,1,59.3
217.0,W,3,6,41.26
217.0,N,0,0,100.01
217.0,E,4,11,42.1
217.0,S,0,1,57.5
218.0,W,3,6,40.41
218.0,N,0,0,100.01
218.0,E,4,11,40.02
218.0,S,0,1,51.01
219.0,W,3,6,37.48
219.0,N,0,0,100.01
219.0,E,5,11,38.28
219.0,S,0,1,53.2
220.0,W,3,7,38.55
220.0,N,0,0,100.01
220.0,E,6,11,37.28
220.0,S,0,1,54.62
221.0,W,4,7,35.83
221.0,N,0,0,100.01
221.0,E,6,11,36.37
221.0,S,0,1,56.11
222.0,W,4,8,27.98
222.0,N,0,0,100.01
222.0,E,7,11,34.88
222.0,S,0,1,57.63
223.0,W,5,8,28.16
223.0,N,0,0,100.01
223.0,E,8,11,33.87
223.0,S,0,1,58.15
224.0,W,6,9,32.72
224.0,N,0,0,100.01
224.0,E,9,11,33.06
224.0,S,0,1,57.06
225.0,W,6,9,32.26
225.0,N,0,0,100.01
225.0,E,9,12,34.03
225.0,S,0,1,57.55
226.0,W,7,9,31.25
226.0,N,0,0,100.01
226.0,E,9,12,33.22
226.0,S,0,1,57.27
227.0,W,7,8,31.13
227.0,N,0,0,100.01
227.0,E,8,12,32.91
227.0,S,0,1,58.03
228.0,W,5,8,30.63
228.0,N,0,0,100.01
228.0,E,7,10,33.42
228.0,S,0,1,57.76
229.0,W,4,8,31.98
229.0,N,0,1,82.4
229.0,E,5,10,34.29
229.0,S,0,1,57.93
230.0,W,2,6,31.92
230.0,N,0,1,84.58
230.0,E,3,12,23.61
230.0,S,0,1,58.16
231.0,W,0,7,28.15
231.0,N,0,1,86.51
231.0,E,2,10,27.72
231.0,S,0,1,57.57
232.0,W,0,6,32.57
232.0,N,0,1,88.24
232.0,E,1,12,29.36
232.0,S,0,1,57.52
233.0,W,0,8,35.69
233.0,N,0,1,90.05
233.0,E,0,10,32.18
233.0,S,0,1,55.26
234.0,W,0,7,42.0
234.0,N,0,1,92.21
234.0,E,0,12,33.95
234.0,S,0,0,60.01
235.0,W,0,8,44.15
235.0,N,0,1,91.55
235.0,E,0,12,37.15
235.0,S,0,0,60.01
236.0,W,0,8,46.64
236.0,N,0,1,93.63
236.0,E,0,12,37.29
236.0,S,0,0,60.01
237.0,W,0,6,51.53
237.0,N,0,3,71.75
237.0,E,0,13,41.47
237.0,S,0,0,60.01
238.0,W,0,4,49.51
238.0,N,0,3,72.15
238.0,E,0,13,40.96
238.0,S,0,0,60.01
239.0,W,0,3,44.62
239.0,N,0,3,70.56
239.0,E,0,13,40.12
239.0,S,0,0,60.01
240.0,W,0,3,41.81
240.0,N,0,2,75.84
240.0,E,1,12,42.41
240.0,S,0,0,60.01
241.0,W,0,1,59.54
241.0,N,0,3,65.86
241.0,E,1,12,41.48
241.0,S,0,0,60.01
242.0,W,0,1,59.24
242.0,N,0,3,63.82
242.0,E,2,11,36.12
242.0,S,0,0,60.01
243.0,W,0,1,59.8
243.0,N,0,2,61.82
243.0,E,0,10,38.7
243.0,S,0,0,60.01
244.0,W,0,1,55.85
244.0,N,0,3,68.04
244.0,E,0,8,44.2
244.0,S,0,1,51.46
245.0,W,0,2,57.32
245.0,N,1,3,67.22
245.0,E,0,6,51.0
245.0,S,0,2,46.47
246.0,W,0,2,58.55
246.0,N,1,3,67.12
246.0,E,0,5,46.61
246.0,S,0,2,50.34
247.0,W,0,3,56.33
247.0,N,1,2,59.86
247.0,E,0,5,43.0
247.0,S,1,3,33.57
248.0,W,0,4,53.7
248.0,N,1,2,61.2
248.0,E,0,6,39.21
248.0,S,0,3,41.04
