time,dir,queue,vehicles,mean_speed
229.0,S,0,2,58.45
230.0,W,0,0,60.01
230.0,N,0,2,65.92
230.0,E,29,37,23.65
230.0,S,0,2,55.63
231.0,W,0,0,60.01
231.0,N,0,2,67.04
231.0,E,28,36,24.89
231.0,S,0,1,58.77
232.0,W,0,0,60.01
232.0,N,0,3,67.22
232.0,E,26,37,24.47
232.0,S,0,1,59.58
233.0,W,0,0,60.01
233.0,N,0,3,70.92
233.0,E,25,38,22.39
233.0,S,0,1,59.35
234.0,W,0,0,60.01
234.0,N,0,3,74.58
234.0,E,25,37,23.65
234.0,S,0,1,56.36
235.0,W,0,0,60.01
235.0,N,0,2,84.08
235.0,E,23,37,25.07
235.0,S,0,1,52.47
236.0,W,0,1,56.71
236.0,N,0,2,86.05
236.0,E,21,36,25.06
236.0,S,0,1,49.05
237.0,W,0,2,56.74
237.0,N,0,1,90.1
237.0,E,19,35,25.28
237.0,S,0,2,39.43
238.0,W,0,2,57.96
238.0,N,0,1,88.42
238.0,E,16,34,25.13
238.0,S,0,2,40.78
239.0,W,0,2,58.49
239.0,N,0,0,100.01
239.0,E,14,33,26.14
239.0,S,1,3,39.43
240.0,W,0,2,58.18
240.0,N,0,0,100.01
240.0,E,12,32,26.72
240.0,S,1,3,41.77
241.0,W,0,2,58.55
241.0,N,0,0,100.01
241.0,E,10,32,27.72
241.0,S,1,3,44.34
242.0,W,0,2,57.49
242.0,N,0,0,100.01
242.0,E,8,30,28.2
242.0,S,1,4,40.8
243.0,W,0,2,57.82
243.0,N,0,0,100.01
243.0,E,6,29,29.02
243.0,S,1,4,41.82
244.0,W,0,3,57.25
244.0,N,0,0,100.01
244.0,E,5,27,34.14
244.0,S,1,5,40.27
245.0,W,0,2,56.33
245.0,N,0,0,100.01
245.0,E,5,25,35.47
245.0,S,1,5,41.67
246.0,W,0,3,55.03
246.0,N,0,0,100.01
246.0,E,3,24,35.83
246.0,S,1,6,40.77
247.0,W,0,3,55.97
247.0,N,0,0,100.01
247.0,E,2,24,36.5
247.0,S,1,6,41.26
248.0,W,0,2,56.92
248.0,N,0,0,100.01
248.0,E,0,23,27.42
248.0,S,1,6,41.94
249.0,W,0,1,58.29
