time,dir,queue,vehicles,mean_speed,lane_count,lane_configs,bus_count,bus_routes
345.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
345.0,N,0,1,94.85,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
345.0,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
345.0,S,0,1,59.75,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
346.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
346.0,N,0,1,92.68,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
346.0,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
346.0,S,0,2,55.13,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
347.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
347.0,N,0,1,90.01,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
347.0,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
347.0,S,0,2,55.93,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
348.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
348.0,N,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
348.0,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
348.0,S,0,2,58.0,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
349.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
349.0,N,0,1,95.44,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
349.0,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
349.0,S,0,2,58.38,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
350.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
350.0,N,0,1,96.29,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
350.0,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
350.0,S,0,2,59.67,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
351.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
351.0,N,0,1,95.18,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
351.0,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
351.0,S,0,2,59.87,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
352.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
352.0,N,0,1,92.5,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
352.0,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
352.0,S,0,2,60.27,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
353.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
353.0,N,0,1,89.8,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
